"SrcEntity	TgtEntity	Score	SrcLabel	TgtLabel"
"http://example.org/Anitology/Action	http://purl.allotrope.org/ontologies/realizable#AFRE_0000001	1.0	Action	action"
"http://example.org/Anitology/AnIML	http://purl.allotrope.org/ontologies/equipment#AFE_0000550	0.952488362789154	Action	anion-exchange column"
"http://example.org/Anitology/AnIML	http://purl.allotrope.org/ontologies/equipment#AFE_0000329	0.9515357613563538	Action	vial"
"http://example.org/Anitology/Author	http://purl.allotrope.org/ontologies/result#AFR_0003096	1.0	Action	author"
"http://example.org/Anitology/Boolean	http://purl.allotrope.org/ontologies/result#AFR_0001510	1.0	Action	scalar boolean datum"
"http://example.org/Anitology/Comment	http://purl.allotrope.org/ontologies/result#AFR_0002017	1.0	Action	comment"
"http://example.org/Anitology/ContainerTypeType	http://purl.allotrope.org/ontologies/result#AFR_0001987	0.9949387311935424	Action	container type"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/result#AFR_0000682	0.9979774355888368	Action	differential scanning calorimetry result"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/process#AFP_0002124	0.9979577660560608	Action	differential scanning calorimetry"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/role#AFRL_0000526	0.9979143142700196	Action	differential scanning calorimetry role"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/result#AFR_0000007	0.997550368309021	Action	differential scanning calorimetry curve"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/process#AFP_0003765	0.9967619776725768	Action	dynamic vapor sorption"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/quality#AFQ_0000310	0.9961133003234864	Action	drusy association state"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/process#AFP_0003763	0.9929895401000975	Action	differential scanning calorimetry cycle"
"http://example.org/Anitology/D	http://purl.allotrope.org/ontologies/quality#AFQ_0000016	0.9887514114379884	Action	column inner diameter (quality)"
"http://example.org/Anitology/DateTime	http://purl.allotrope.org/ontologies/result#AFR_0001512	0.9989221692085266	Action	scalar timestamp datum"
"http://example.org/Anitology/Device	http://purl.allotrope.org/ontologies/equipment#AFE_0000354	1.0	Action	device"
"http://example.org/Anitology/Diff	http://purl.allotrope.org/ontologies/process#AFP_0003838	0.9970201253890992	Action	dispensing"
"http://example.org/Anitology/Diff	http://purl.allotrope.org/ontologies/role#AFRL_0000567	0.9951011538505554	Action	dispensing role"
"http://example.org/Anitology/Diff	http://purl.allotrope.org/ontologies/equipment#AFE_0001860	0.9865911602973938	Action	diode"
"http://example.org/Anitology/Diff	http://purl.allotrope.org/ontologies/process#AFP_0003593	0.9857985973358154	Action	diffuse reflection"
"http://example.org/Anitology/Diff	http://purl.allotrope.org/ontologies/process#AFP_0000112	0.9689637422561646	Action	dissolving"
"http://example.org/Anitology/Diff	http://purl.allotrope.org/ontologies/process#AFP_0000373	0.9288852214813232	Action	dilatometry"
"http://example.org/Anitology/Email	http://purl.obolibrary.org/obo/IAO_0000429	0.9975282549858092	Action	email address"
"http://example.org/Anitology/EndValue	http://purl.allotrope.org/ontologies/process#AFP_0003286	0.9985426664352416	Action	end"
"http://example.org/Anitology/EndValue	http://purl.allotrope.org/ontologies/result#AFR_0001626	0.992390751838684	Action	stop command"
"http://example.org/Anitology/EndValue	http://purl.allotrope.org/ontologies/result#AFR_0002423	0.9829888939857484	Action	end time"
"http://example.org/Anitology/EndValue	http://purl.allotrope.org/ontologies/result#AFR_0002124	0.9208573698997498	Action	measurement end time"
"http://example.org/Anitology/EndValue	http://purl.allotrope.org/ontologies/role#AFRL_0000092	0.9042943716049194	Action	at end"
"http://example.org/Anitology/Extension	http://purl.allotrope.org/ontologies/result#AFR_0002907	0.9982308745384216	Action	primer extension duration setting"
"http://example.org/Anitology/Extension	http://purl.allotrope.org/ontologies/process#AFP_0003841	0.9981207251548768	Action	primer extension"
"http://example.org/Anitology/Extension	http://purl.allotrope.org/ontologies/result#AFR_0002906	0.9481356143951416	Action	primer extension temperature setting"
